message_id,student_key,course_week,channel,message_text,message_category
MSG0001,SYN023,2,course_chat,The result looks strange to me and I do not know what to change.,submission_deadline
MSG0002,SYN027,3,help_request,"I have a question about the notebook; I want to understand the feedback before I try again. I checked the instructions first. Also, I do not understand what this metric actually tells us.?",assessment_feedback
MSG0003,SYN038,7,help_request,I have a question about Edge-LMS; I want to confirm when the final version has to be returned. I tried once more before asking.,submission_deadline
MSG0004,SYN014,6,help_request,I have a question about the project and what I should do next. we are trying to combine everyone's work into one result,project_group
MSG0005,SYN003,4,help_request,I have a question about Edge-LMS; one member cannot attend and we need to reorganize the task. I checked the instructions first.,project_group
MSG0006,SYN008,6,course_chat,Could you check the upload; I would like another example before continuing. I am trying to finish this before Monday.?,course_content
MSG0007,SYN008,4,help_request,Something came up with the weekly task; the formula makes sense but the interpretation does not. I checked the instructions first.,course_content
MSG0008,SYN015,3,help_request,SOMETHING CAME UP WITH THE GROUP TASK; I AM CHECKING WHETHER MONDAY MORNING IS ALREADY TOO LATE. I CHECKED THE INSTRUCTIONS FIRST.,submission_deadline
MSG0009,SYN015,5,course_chat,Something came up with the weekly task; the idea behind the example is still unclear to me. I am trying to finish this before Monday.,course_content
MSG0010,SYN029,7,course_chat,Something came up with the group task; we have different ideas about what the project question should be. I checked the instructions first.,project_group
MSG0011,SYN022,3,help_request,I wanted to ask about the group task; I want to understand when this method is appropriate. Could you clarify it??,course_content
MSG0012,SYN014,5,help_request,I need help with the course material; I need to know which return place should contain the final version. I am trying to finish this before Monday.,submission_deadline
MSG0013,SYN016,7,help_request,I am not sure about the weekly task; I cannot tell whether the file actually reached the system. This is for this week's work.,technical_problem
MSG0014,SYN032,5,course_chat,I have a question about the group task; I am not sure whether I can send it after the stated time. I checked the instructions first.,submission_deadline
MSG0015,SYN008,2,course_chat,Can you check the notebook? I am not sure what happened.,project_group
MSG0016,SYN029,3,help_request,I have a question about the project and what I should do next. I want to understand when this method is appropriate,course_content
MSG0017,SYN029,3,help_request,I am not sure about the upload; I can follow the code but I do not understand why this method is used. I am trying to finish this before Monday.,course_content
